Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
Kabupaten / 17 Kota ;;Indeks Kedalaman Kemiskinan Maret Menurut Kab/Kota;;;;;
;;;2025;;;;
Sumatera Selatan;;;1,64;;;;
Ogan Komering Ulu ;;;1,48;;;;
Ogan Komering Ilir;;;1,36;;;;
Muara Enim;;;1,28;;;;
Lahat;;;2,55;;;;
Musi Rawas;;;1,33;;;;
Musi Banyuasin ;;;1,49;;;;
Banyuasin;;;1,08;;;;
Ogan Komering Ulu Selatan;;;1,27;;;;
Ogan Komering Ulu Timur;;;0,97;;;;
Ogan Ilir;;;1,45;;;;
Empat Lawang;;;1,44;;;;
Pali;;;1,01;;;;
Musi Rawas Utara;;;2,22;;;;
Palembang;;;1,4;;;;
Prabumulih;;;1,19;;;;
"Pagar Alam	";;;0,82;;;;
Lubuk Linggau;;;1,1;;;;
